calle,condicion,conjunto,uv
ADOLFO IBAÑEZ,NO,-1,16
ADOLFO OSSA,NO,-1,1
ADOLFO VALDERRAMA,NO,-1,3
AGUA SANTA,NO,-1,2
AGUSTIN MEZA,NO,-1,4
ALBERTO GUTIERREZ DE LA CUADRA,NO,-1,4
ALFREDO GUILLERMO BRAVO,NO,-1,17
ALMERÍA,NO,-1,8
ALONSO DE REINOSO,NO,-1,2
ALTAMIRANO,NO,-1,18
AMALIA ERRAZURIZ,NO,-1,8
ANGOL,NO,-1,20
ANTONIA LOPEZ DE BELLO,NO,-1,9
ANTONIO JACOBO VIAL,NO,-1,5
ARIEL,NO,-1,3
ARMANDO QUEZADA ACHARAN,NO,-1,3
ARQUITECTO ARTURO BIANCHI,NO,-1,23
ARQUITECTO HERNAN OVALLE,NO,-1,7
ARQUITECTO MIGUEL DAVILA,NO,-1,7
ARQUITECTO MORALES,NO,-1,23
ARQUITECTO RICARDO MULLER,NO,-1,23
ARQUITECTO WALDO PARRAGUEZ,NO,-1,7
ARTESANOS,NO,-1,9
ARTURO,NO,-1,17
AURORA DE CHILE,NO,-1,26
BAJOS DE JIMENEZ,NO,-1,20
BALDOMERO LILLO,NO,-1,6
BARNECHEA,NO,-1,15
BARON DE JURAS REALES,NO,-1,20
BELGICA,NO,-1,4
BELTRAN MATHIEU,NO,-1,16
BEZANILLA,NO,-1,8
BLANCO FOMBONA,NO,-1,17
BOLIVIA,NO,-1,20
BORGOÑO,NO,-1,16
BRUSELAS,NO,-1,17
BUEN ORDEN,NO,-1,17
CAMARICO,NO,-1,2
CAÑETE,NO,-1,3
CAPITAN TRONCOSO,NO,-1,18
CARLOS GARDEL,NO,-1,20
BRIGADIER CARLOS GARRIDO,NO,-1,7
CARLOS HURTADO,NO,-1,2
CARLOTA MILCHER,NO,-1,9
CATORCE DE LA FAMA,NO,-1,20
CAZADORES,NO,-1,7
CENTRAL,NO,-1,5
CINCO DE MAYO,NO,-1,18
COLON,NO,-1,13
CONSTANCIA,NO,-1,3
CONTRAMAESTRE BRITO,NO,-1,19
CORACEROS,NO,-1,7
CORONEL DE LA QUINTANA,NO,-1,15
COSTA RICA,NO,-1,20
COTAPOS,NO,-1,4
CRONISTA GONGORA,NO,-1,18
CRUZ,NO,-1,13
DANIEL FELIU,NO,-1,3
DAVID ARELLANO,NO,-1,3
DAVILA BAEZA,NO,-1,9
DIANA VALDERRAMA,NO,-1,3
DIECINUEVE NORTE,NO,-1,22
DIEZ DE MARZO,NO,-1,18
DRAGONES,NO,-1,7
ECHAZARRETA,NO,-1,13
ECHEVERRIA,NO,-1,9
ECUADOR,NO,-1,20
EINSTEIN,NO,-1,2
EL CLAVEL,NO,-1,23
EL COPIHUE,NO,-1,23
EL ESPINO,NO,-1,7
EL LIRIO,NO,-1,23
ELENA SERRANO,NO,-1,16
EMILIO OELCKERS,NO,-1,8
ENRICO FERMI,NO,-1,4
ENRIQUE RIVERA,NO,-1,18
EUGENIO MATTE,NO,-1,20
FIDEL MONJE,NO,-1,7
FIDEL MUÑOZ,NO,-1,3
FIDEL OSORIO,NO,-1,19
